Molecule ChEMBL ID,Smiles,pIC50,pIC50_binary
CHEMBL4794465,CNc1nc(Nc2ccc(-n3cnc(Cl)c3)c(OC)c2)nc2c1CC[C@H]2c1ccccc1,6.161150909,1
CHEMBL4794578,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.900000142,0
CHEMBL4802105,COc1cc(C2Oc3c(O)cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)cc3C2CO)ccc1O,5.045757491,0
CHEMBL4848777,COc1ccc(CCC(=O)O)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,5.698970004,1
CHEMBL486193,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,5.650000221,1
CHEMBL486400,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,5.420000453,0
CHEMBL501680,C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,5.879998926,1
CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.552841969,0
CHEMBL504794,C/C=C(\C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(CO)C(CC1(C)C)C1=CC[C@@H]3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](CO)C4CC[C@@]3(C)[C@@]1(C)C[C@H]2O,5.849999245,1
CHEMBL506247,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,5.579999668,0
CHEMBL5070166,Cc1noc(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)nn2)c1COC(=O)N(C)C1CCCC1,4.450996738,0
CHEMBL5070789,CCCCN(C)C(=O)OCc1c(C)noc1-c1ccc(O[C@H]2CCC[C@H](C(=O)O)C2)cn1,5.628932138,1
CHEMBL5072201,Cc1nc(-c2nnn(C)c2COC(=O)N(C)CC2CCC2)ccc1O[C@H]1CCC[C@H](C(=O)O)C1,5.823908741,1
CHEMBL5077187,Cc1nc(C)c([C@H](OC(C)(C)C)C(=O)O)c(N2CCC(C)(C)CC2)c1-c1ccc(OCCc2ccc(C#N)cc2)cc1,7,1
CHEMBL5083511,CN(C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)cc2)nnn1C)C1CCCC1,4.906578315,0
CHEMBL5085115,Cc1nc(-c2nnn(C)c2COC(=O)N(C)CC2CCC2)cnc1O[C@H]1CCC[C@H](C(=O)O)C1,5.508638306,0
CHEMBL5085260,Cc1noc(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)cc2)c1COC(=O)N(C)C1CCCC1,6.22184875,1
CHEMBL5087506,CCCN(C)C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)c(C)n2)nnn1C,4.443697499,0
CHEMBL5092698,CN(C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)cn2)nnn1C)C1CCCC1,5.036212173,0
CHEMBL51483,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,5.48999954,0
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,3.795880017,0
CHEMBL551842,CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2,6.139997578,1
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.677780705,0
CHEMBL592675,COc1cc([C@@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@H]2CO)ccc1O,5.070581074,0
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.920818754,0
CHEMBL601891,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,4.950000176,0
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.318758763,0
CHEMBL71893,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,5.570000775,0
CHEMBL90555,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,4.356547324,0
CHEMBL9509,COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O,5.210000001,0
