Molecule ChEMBL ID,Smiles,pIC50,pIC50_binary
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.698970004,1
CHEMBL1651956,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,6.30980392,1
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,4.800000053,0
CHEMBL1741,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,5.509999358,0
CHEMBL1751,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,5.48999954,0
CHEMBL1829174,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,5.642065153,1
CHEMBL191,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,6.540004744,1
CHEMBL1916282,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,5.100000128,0
CHEMBL2018969,COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)O)c1,6.399996913,1
CHEMBL210868,O=C1C=CC(=C(c2ccc(O)cc2)c2ccc(O)cc2)C=C1,5.579999668,0
CHEMBL2269376,C=C1[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1CC(=O)C(C)(C)[C@H](C(OC(C)=O)C(=O)OC)[C@]12C,5.839999931,1
CHEMBL228281,Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(O)c3c(c1O2)C(O)OC3=O,5.94000137,1
CHEMBL230006,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,6.279997898,1
CHEMBL2369947,CC(C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C1=O,6,1
CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,5.431798276,0
CHEMBL3039035,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,4.929999835,0
CHEMBL3039293,COC(=O)C[C@H]1C2(C)CC34OC5(C)O[C@@]6([C@H](OC)C(OC(=O)C(C)C)[C@]7(C)C(/C(=C(/OC)C(C)C)C(=O)O[C@H]7c7ccoc7)[C@@]6(O5)[C@H](OC)[C@@]3(OC)C2OC(C)=O)[C@]14C,6.119998612,1
CHEMBL3039300,CCC(C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)CC23OC2(C)O[C@]14[C@]1(C)[C@@H](CC(=O)OC)C5(C)CC1(O)[C@](O)(C5OC(=O)C1(C)OC1C)[C@@H](OC(C)=O)[C@]34O2,6.170001911,1
CHEMBL3039411,COC(=O)C[C@H]1C2(C)CC34OC5(C)O[C@@]6([C@H](OC(C)=O)C(OC(C)=O)[C@]7(C)C(/C(=C(/O)C(C)C)C(=O)O[C@H]7c7ccoc7)[C@@]6(O5)[C@H](OC(C)=O)[C@@]3(O)C2OC(=O)C(C)C)[C@]14C,6.160000609,1
CHEMBL3039417,CC(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)C[C@H]3O[C@]32[C@]2(C)C(=O)C(O)=C3C(C)(C)C(=O)C=C[C@]3(C)C12,5.520000247,0
CHEMBL3039433,CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=C[C@@H]4CC5C(C)(C)OC(C/C=C(\C)C(=O)O)(C4=O)[C@@]15O3)OC(C)(CCC=C(C)C)C=C2,5.390000296,0
CHEMBL3085392,C=C1[C@@H]([C@@]2(C)[C@@H](OC(C)=O)CC(=O)O[C@](C)(COC(C)=O)[C@@H]2C(=O)OC)[C@@H](OC=O)[C@H](OC(=O)[C@H](O)[C@H](C)CC)[C@@]2(C)[C@H](c3ccoc3)CC(=O)[C@]12O,5.629999781,1
CHEMBL3137741,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4O)C3=O,5.700000504,1
CHEMBL3138652,CC1(C)[C@@H](O)C=C[C@]2(C)[C@H]3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]3(C)C(=O)C[C@@H]12,5.620000528,0
CHEMBL3138658,C[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@@H](O)[C@@H](O[C@H]4[C@@H](OC(=O)[C@]56CCC(C)(C)C[C@@H]5C5=CC[C@@H]7[C@@]8(C)CC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)C(C)(C)[C@@H]8CC[C@@]7(C)[C@]5(C)C[C@H]6O)OC[C@@H](O)[C@@H]4O)O[C@H]3C)OC[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,5.480000159,0
CHEMBL3138660,C=C1[C@@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C[C@]13O[C@H]1C[C@H](OC(C)=O)C(C)(C)[C@H](CC(=O)OC)[C@]12C,6.030002001,1
CHEMBL3138664,CC1(C)C(=O)CC[C@]2(C)[C@@H]1C[C@@H](O)[C@]1(C)C3=CC(=O)O[C@H](c4ccoc4)[C@@]3(C)CC[C@@H]21,5.200000237,0
CHEMBL3138676,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)[C@@]21C,5.450000476,0
CHEMBL3138678,CC(=O)O[C@H]1C[C@@H](OC(C)=O)C(C)(C)[C@@H]2C[C@@H](OC(C)=O)[C@]3(C)[C@H]([C@H](OC(C)=O)C[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@@]534)[C@@]12C,6.06000179,1
CHEMBL3138689,CC(=O)O[C@@H]1CC[C@]2(C)[C@H](C[C@@H](OC(C)=O)[C@]3(C)C4=CC(=O)O[C@H](c5ccoc5)[C@@]4(C)CC[C@@H]23)C1(C)C,6.090000276,1
CHEMBL3138694,CC1(C)C(=O)[C@@H]2O[C@@H]2[C@]2(C)[C@H]3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]3(C)[C@H](O)C[C@@H]12,5.800000875,1
